dataset,method,privacy,metric,value,epochs,lr,batch_size,max_length,seed,prompt_tokens,lora_r,lora_alpha,lora_dropout,trainable_params,total_params,epsilon,delta,noise_multiplier,max_grad_norm,
qnli,soft_prompt,none,accuracy,0.6070,8,0.0005,32,128,42,10,,,,1538,4387716,inf,,,,
qnli,prefix,none,accuracy,0.7716,8,0.0005,32,128,42,10,,,,84098,4470276,inf,,,,
qnli,linear_probe,none,accuracy,0.6696,8,0.0005,32,128,42,,,,,258,4386178,inf,,,,
qnli,lora,none,accuracy,0.7829,8,0.0005,32,128,42,,8,16,0.05,8450,4394628,inf,,,,
qnli,full_ft,none,accuracy,0.7831,8,0.0005,32,128,42,,,,,4386178,4386178,inf,,,,
sst2,soft_prompt,none,accuracy,0.7374,20,0.005,32,128,42,10,,,,1538,4387716,inf,,,,
sst2,soft_prompt,none,accuracy,0.7030,10,0.0005,32,128,42,10,,,,1538,4387716,inf,,,,
sst2,soft_prompt,none,accuracy,0.7443,10,0.005,32,128,42,10,,,,1538,4387716,inf,,,,
sst2,soft_prompt,none,accuracy,0.7362,10,0.01,32,128,42,10,,,,1538,4387716,inf,,,,
sst2,soft_prompt,dp,accuracy,0.6881,5,0.001,32,128,42,10,,,,1538,4387716,7.994648985608258,1.4848030408766277e-05,0.4219818115234375,0.1,
sst2,prefix,none,accuracy,0.7282,20,5e-05,32,128,42,10,,,,84098,4470276,inf,,,,
sst2,prefix,none,accuracy,0.7741,10,0.0005,32,128,42,10,,,,84098,4470276,inf,,,,
sst2,prefix,none,accuracy,0.7867,20,0.005,32,128,42,10,,,,84098,4470276,inf,,,,
sst2,prefix,dp,accuracy,0.6823,3,0.005,32,128,42,10,,,,67586,4453764,7.997559899879656,1.4848030408766277e-05,0.410614013671875,0.1,
sst2,prefix,dp,accuracy,0.7030,5,0.005,32,128,42,1,,,,66434,4452612,7.994648985608258,1.4848030408766277e-05,0.4219818115234375,0.1,
sst2,linear_probe,none,accuracy,0.6594,20,5e-05,32,128,42,,,,,258,4386178,inf,,,,
sst2,linear_probe,none,accuracy,0.6812,10,0.001,32,128,42,,,,,258,4386178,inf,,,,
sst2,linear_probe,none,accuracy,0.6892,2,0.001,32,128,42,,,,,258,4386178,inf,,,,
sst2,linear_probe,dp,accuracy,0.6732,5,0.005,32,128,42,,,,,258,4386178,7.994648985608258,1.4848030408766277e-05,0.4219818115234375,0.1,
sst2,linear_probe,dp,accuracy,0.6778,10,0.005,32,128,42,,,,,258,4386178,7.996042241213359,1.4848030408766277e-05,0.439605712890625,0.1,
sst2,linear_probe,dp,accuracy,0.6892,10,0.01,32,128,42,,,,,258,4386178,7.996042241213359,1.4848030408766277e-05,0.439605712890625,0.1,
sst2,lora,none,accuracy,0.7683,20,5e-05,32,128,42,,8,16,0.05,8450,4394628,inf,,,,
sst2,lora,none,accuracy,0.7764,10,0.001,32,128,42,,8,16,0.05,8450,4394628,inf,,,,
sst2,lora,none,accuracy,0.7362,20,0.005,32,128,42,,8,16,0.05,8450,4394628,inf,,,,
sst2,lora,dp,accuracy,0.7500,5,0.0005,32,128,42,,8,16,0.05,8450,4394628,5599.049894409319,1.4848030408766277e-05,0.1,1.0,
sst2,lora,dp,accuracy,0.7133,3,0.0005,32,128,42,,8,16,0.05,8450,4394628,7.997559899879656,1.4848030408766277e-05,0.410614013671875,1.0,
sst2,lora,dp,accuracy,0.7133,3,0.0005,32,128,42,,8,16,0.05,8450,4394628,7.997559899879656,1.4848030408766277e-05,0.410614013671875,0.1,
sst2,full_ft,none,accuracy,0.8326,20,5e-05,32,128,42,,,,,4386178,4386178,inf,,,,
sst2,full_ft,dp,accuracy,0.5092,3,5e-05,32,128,42,,,,,4386178,4386178,7.997559899879656,1.4848030408766277e-05,0.410614013671875,0.1,
sst2,full_ft,dp,accuracy,0.7523,5,0.0003,32,128,42,,,,,4386178,4386178,7.994648985608258,1.4848030408766277e-05,0.4219818115234375,1.0,
